series,platform,topology,workload,trial,sessions,chunk_bytes,bytes,wall_ms,throughput_mib_s,broker_cpu_ms,broker_cpu_per_gib_ms,broker_rss_bytes,broker_context_switches,p50_us,p99_us,graceful_teardown
initial,linux,current,stdout,1,16,8192,1073741824,2186.920,468.238,895.428,895.428,3768320,14225,0,0,true
initial,linux,current,stdout,2,16,8192,1073741824,1703.946,600.958,892.777,892.777,3801088,16890,0,0,true
initial,linux,current,stdout,3,16,8192,1073741824,1619.978,632.108,1026.017,1026.017,3788800,11811,0,0,true
initial,linux,tuned-64k,stdout,1,16,8192,1073741824,1665.159,614.956,1129.816,1129.816,4796416,13024,0,0,true
initial,linux,tuned-64k,stdout,2,16,8192,1073741824,1719.308,595.588,1109.738,1109.738,5038080,11403,0,0,true
initial,linux,tuned-64k,stdout,3,16,8192,1073741824,1870.216,547.530,1249.483,1249.483,4927488,11035,0,0,true
initial,linux,splice,stdout,1,16,8192,1073741824,1621.532,631.502,590.196,590.196,3514368,20473,0,0,true
initial,linux,splice,stdout,2,16,8192,1073741824,1664.138,615.334,719.686,719.686,3608576,19487,0,0,true
initial,linux,splice,stdout,3,16,8192,1073741824,1657.386,617.840,763.649,763.649,3448832,18311,0,0,true
initial,linux,current,full-duplex,1,16,8192,2147483648,2769.890,739.380,2196.362,1098.181,3796992,19049,0,0,true
initial,linux,current,full-duplex,2,16,8192,2147483648,2759.050,742.284,2273.094,1136.547,3649536,16171,0,0,true
initial,linux,current,full-duplex,3,16,8192,2147483648,3782.065,541.503,2550.256,1275.128,3739648,21807,0,0,true
initial,linux,tuned-64k,full-duplex,1,16,8192,2147483648,4081.883,501.729,3196.500,1598.250,5562368,20189,0,0,true
initial,linux,tuned-64k,full-duplex,2,16,8192,2147483648,3111.957,658.107,2357.513,1178.756,5472256,19282,0,0,true
initial,linux,tuned-64k,full-duplex,3,16,8192,2147483648,4901.507,417.831,2168.756,1084.378,5414912,26092,0,0,true
confirmation,linux,current,full-duplex,1,16,8192,2147483648,8120.891,252.189,4178.859,2089.430,3579904,42822,0,0,true
confirmation,linux,current,full-duplex,2,16,8192,2147483648,6437.859,318.118,4278.230,2139.115,3719168,36572,0,0,true
confirmation,linux,current,full-duplex,3,16,8192,2147483648,5785.663,353.978,4268.947,2134.474,3817472,34894,0,0,true
confirmation,linux,current,full-duplex,4,16,8192,2147483648,4486.854,456.445,3629.299,1814.649,3878912,28275,0,0,true
confirmation,linux,current,full-duplex,5,16,8192,2147483648,4066.090,503.678,2752.497,1376.248,3743744,28574,0,0,true
confirmation,linux,splice,full-duplex,1,16,8192,2147483648,8285.004,247.194,2172.059,1086.030,3702784,62284,0,0,true
confirmation,linux,splice,full-duplex,2,16,8192,2147483648,3573.481,573.111,1906.220,953.110,3567616,38498,0,0,true
confirmation,linux,splice,full-duplex,3,16,8192,2147483648,5371.345,381.283,2708.405,1354.203,3489792,61067,0,0,true
confirmation,linux,splice,full-duplex,4,16,8192,2147483648,6952.718,294.561,2226.451,1113.226,3497984,60191,0,0,true
confirmation,linux,splice,full-duplex,5,16,8192,2147483648,6291.158,325.536,2322.647,1161.323,3637248,55190,0,0,true
confirmation,linux,current,ping-pong,1,16,8192,67108864,541.849,118.114,244.511,3912.176,3719168,2719,638,16791,true
confirmation,linux,current,ping-pong,2,16,8192,67108864,232.732,274.995,224.995,3599.920,3960832,2007,608,6418,true
confirmation,linux,current,ping-pong,3,16,8192,67108864,305.360,209.589,273.039,4368.624,3719168,2214,563,13350,true
confirmation,linux,current,ping-pong,4,16,8192,67108864,397.113,161.163,463.243,7411.888,3706880,2621,592,19903,true
confirmation,linux,current,ping-pong,5,16,8192,67108864,235.279,272.017,219.771,3516.336,3772416,1931,547,8909,true
confirmation,linux,splice,ping-pong,1,16,8192,67108864,428.994,149.186,185.590,2969.440,3493888,3156,831,10727,true
confirmation,linux,splice,ping-pong,2,16,8192,67108864,370.274,172.845,341.030,5456.480,3604480,2332,671,17538,true
confirmation,linux,splice,ping-pong,3,16,8192,67108864,306.442,208.849,220.490,3527.840,3469312,2205,649,8826,true
confirmation,linux,splice,ping-pong,4,16,8192,67108864,260.471,245.709,96.776,1548.416,3497984,2466,755,3161,true
confirmation,linux,splice,ping-pong,5,16,8192,67108864,309.040,207.093,109.832,1757.312,3457024,3005,757,4427,true
initial,windows,current,full-duplex,1,16,8192,2147483648,3144.181,651.362,8875.000,4437.500,9826304,NA,0,0,true
initial,windows,current,full-duplex,2,16,8192,2147483648,2981.079,687.000,8343.750,4171.875,10063872,NA,0,0,true
initial,windows,current,full-duplex,3,16,8192,2147483648,3015.856,679.077,8234.375,4117.188,8400896,NA,0,0,true
initial,windows,tuned-64k,full-duplex,1,16,8192,2147483648,2752.022,744.180,6609.375,3304.688,14630912,NA,0,0,true
initial,windows,tuned-64k,full-duplex,2,16,8192,2147483648,2713.238,754.818,7718.750,3859.375,15130624,NA,0,0,true
initial,windows,tuned-64k,full-duplex,3,16,8192,2147483648,2809.449,728.969,6921.875,3460.938,15994880,NA,0,0,true
confirmation,windows,current,stdout,1,16,8192,1073741824,1885.128,543.199,5093.750,5093.750,8962048,NA,0,0,true
confirmation,windows,current,stdout,2,16,8192,1073741824,2276.492,449.815,4171.875,4171.875,8454144,NA,0,0,true
confirmation,windows,current,stdout,3,16,8192,1073741824,2223.311,460.574,4734.375,4734.375,9158656,NA,0,0,true
confirmation,windows,current,stdout,4,16,8192,1073741824,1911.813,535.617,4453.125,4453.125,8429568,NA,0,0,true
confirmation,windows,current,stdout,5,16,8192,1073741824,1849.964,553.524,4468.750,4468.750,8224768,NA,0,0,true
confirmation,windows,tuned-64k,stdout,1,16,8192,1073741824,1655.404,618.580,3671.875,3671.875,11436032,NA,0,0,true
confirmation,windows,tuned-64k,stdout,2,16,8192,1073741824,2180.209,469.680,3375.000,3375.000,11804672,NA,0,0,true
