platform,topology,workload,sessions,chunk_bytes,bytes,wall_ms,throughput_mib_s,broker_cpu_ms,broker_cpu_per_gib_ms,broker_rss_bytes,broker_context_switches,p50_us,p99_us,graceful_teardown
windows,current,stdout,1,8192,8388608,59.398,134.686,62.500,8000.000,6815744,NA,0,0,true
windows,current,full-duplex,1,8192,16777216,63.339,252.609,62.500,4000.000,7012352,NA,0,0,true
windows,current,ping-pong,1,8192,4194304,40.744,98.173,31.250,8000.000,6979584,NA,134,252,true
windows,current,stdout,16,8192,134217728,467.962,273.526,531.250,4250.000,8003584,NA,0,0,true
windows,current,full-duplex,16,8192,268435456,431.701,593.003,1187.500,4750.000,8990720,NA,0,0,true
windows,current,ping-pong,16,8192,67108864,144.371,443.302,281.250,4500.000,8515584,NA,498,1567,true
windows,current,stdout,64,8192,536870912,808.548,633.234,1281.250,2562.500,10428416,NA,0,0,true
windows,current,full-duplex,64,8192,1073741824,1950.461,525.004,2984.375,2984.375,14176256,NA,0,0,true
windows,current,ping-pong,64,8192,268435456,477.804,535.785,1187.500,4750.000,11776000,NA,1638,6461,true
windows,tuned-64k,stdout,1,8192,8388608,55.088,145.223,62.500,8000.000,7094272,NA,0,0,true
windows,tuned-64k,full-duplex,1,8192,16777216,75.232,212.674,78.125,5000.000,7655424,NA,0,0,true
windows,tuned-64k,ping-pong,1,8192,4194304,46.723,85.611,31.250,8000.000,7114752,NA,148,492,true
windows,tuned-64k,stdout,16,8192,134217728,220.894,579.464,265.625,2125.000,11038720,NA,0,0,true
windows,tuned-64k,full-duplex,16,8192,268435456,443.130,577.709,765.625,3062.500,12697600,NA,0,0,true
windows,tuned-64k,ping-pong,16,8192,67108864,148.420,431.209,250.000,4000.000,10371072,NA,505,1425,true
windows,tuned-64k,stdout,64,8192,536870912,655.247,781.385,1312.500,2625.000,23420928,NA,0,0,true
windows,tuned-64k,full-duplex,64,8192,1073741824,1777.983,575.933,2656.250,2656.250,30629888,NA,0,0,true
windows,tuned-64k,ping-pong,64,8192,268435456,453.357,564.677,890.625,3562.500,18145280,NA,662,7301,true
linux,current,stdout,1,8192,8388608,34.264,233.482,8.295,1061.760,3280896,205,0,0,true
linux,current,full-duplex,1,8192,16777216,70.737,226.190,17.466,1117.824,3661824,494,0,0,true
linux,current,ping-pong,1,8192,4194304,59.078,67.707,8.344,2136.064,3567616,916,49,323,true
linux,current,stdout,16,8192,134217728,412.474,310.322,126.834,1014.672,3862528,1794,0,0,true
linux,current,full-duplex,16,8192,268435456,922.002,277.657,241.875,967.500,3923968,4561,0,0,true
linux,current,ping-pong,16,8192,67108864,198.830,321.882,80.257,1284.112,3833856,2396,694,2049,true
linux,current,stdout,64,8192,536870912,2138.855,239.380,600.848,1201.696,4448256,7373,0,0,true
linux,current,full-duplex,64,8192,1073741824,7850.944,130.430,1465.072,1465.072,4751360,19074,0,0,true
linux,current,ping-pong,64,8192,268435456,1046.390,244.651,453.953,1815.812,4612096,3513,3465,13578,true
linux,tuned-64k,stdout,1,8192,8388608,41.704,191.830,7.918,1013.504,3559424,196,0,0,true
linux,tuned-64k,full-duplex,1,8192,16777216,69.796,229.239,20.605,1318.720,3588096,563,0,0,true
linux,tuned-64k,ping-pong,1,8192,4194304,23.217,172.291,10.134,2594.304,3620864,917,58,359,true
linux,tuned-64k,stdout,16,8192,134217728,625.541,204.623,151.873,1214.984,4616192,2161,0,0,true
linux,tuned-64k,full-duplex,16,8192,268435456,1420.384,180.233,217.452,869.808,5550080,1896,0,0,true
linux,tuned-64k,ping-pong,16,8192,67108864,312.320,204.918,163.249,2611.984,4120576,3190,675,9449,true
linux,tuned-64k,stdout,64,8192,536870912,1665.870,307.347,546.990,1093.980,8601600,7334,0,0,true
linux,tuned-64k,full-duplex,64,8192,1073741824,5574.111,183.706,1308.349,1308.349,11767808,15867,0,0,true
linux,tuned-64k,ping-pong,64,8192,268435456,1516.821,168.774,674.477,2697.908,5566464,5978,3125,28928,true
linux,splice,stdout,1,8192,8388608,28.584,279.873,5.950,761.600,3280896,343,0,0,true
linux,splice,full-duplex,1,8192,16777216,59.810,267.514,11.023,705.472,3362816,576,0,0,true
linux,splice,ping-pong,1,8192,4194304,18.878,211.886,9.189,2352.384,3235840,892,46,241,true
linux,splice,stdout,16,8192,134217728,464.285,275.693,90.269,722.152,3608576,3996,0,0,true
linux,splice,full-duplex,16,8192,268435456,896.456,285.569,247.112,988.448,3506176,6814,0,0,true
linux,splice,ping-pong,16,8192,67108864,507.979,125.989,147.851,2365.616,3350528,2661,733,27706,true
linux,splice,stdout,64,8192,536870912,1563.742,327.420,323.579,647.158,3616768,10794,0,0,true
linux,splice,full-duplex,64,8192,1073741824,2002.418,511.382,534.731,534.731,3600384,23968,0,0,true
linux,splice,ping-pong,64,8192,268435456,801.929,319.230,405.925,1623.700,3608576,8898,2527,9029,true
