platform,topology,workload,trial,sessions,chunk_bytes,bytes,wall_ms,throughput_mib_s,broker_cpu_ms,broker_cpu_per_gib_ms,broker_rss_bytes,broker_context_switches,p50_us,p99_us,graceful_teardown
linux,current,full-duplex,1,16,8192,2147483648,3360.546,609.425,1776.060,888.030,3796992,27128,0,0,true
linux,current,full-duplex,2,16,8192,2147483648,3661.272,559.368,2005.681,1002.841,3952640,24023,0,0,true
linux,current,full-duplex,3,16,8192,2147483648,3641.788,562.361,2064.661,1032.331,3780608,23532,0,0,true
linux,current,full-duplex,4,16,8192,2147483648,3756.733,545.155,3039.292,1519.646,3690496,18369,0,0,true
linux,current,full-duplex,5,16,8192,2147483648,4066.994,503.566,2206.676,1103.338,3784704,23253,0,0,true
linux,splice,full-duplex,1,16,8192,2147483648,2744.584,746.197,1012.712,506.356,3657728,38183,0,0,true
linux,splice,full-duplex,2,16,8192,2147483648,2377.205,861.516,1063.857,531.928,3649536,35032,0,0,true
linux,splice,full-duplex,3,16,8192,2147483648,4415.304,463.841,1354.956,677.478,3547136,43583,0,0,true
linux,splice,full-duplex,4,16,8192,2147483648,4856.486,421.704,2211.573,1105.786,3624960,46687,0,0,true
linux,splice,full-duplex,5,16,8192,2147483648,2307.562,887.517,1049.074,524.537,3735552,36375,0,0,true
linux,current,ping-pong,1,16,8192,67108864,151.166,423.376,93.432,1494.912,3973120,2619,454,2709,true
linux,current,ping-pong,2,16,8192,67108864,249.018,257.010,96.729,1547.664,3883008,2033,797,3224,true
linux,current,ping-pong,3,16,8192,67108864,275.520,232.288,127.982,2047.712,3653632,2409,829,4124,true
linux,current,ping-pong,4,16,8192,67108864,232.119,275.720,221.313,3541.008,3981312,2169,576,6713,true
linux,current,ping-pong,5,16,8192,67108864,127.812,500.737,124.849,1997.584,3801088,2155,431,1254,true
linux,splice,ping-pong,1,16,8192,67108864,155.317,412.061,120.376,1926.016,3428352,2342,418,1562,true
linux,splice,ping-pong,2,16,8192,67108864,149.888,426.987,112.407,1798.512,3485696,2294,413,1529,true
linux,splice,ping-pong,3,16,8192,67108864,158.517,403.742,137.544,2200.704,3637248,2381,431,2559,true
linux,splice,ping-pong,4,16,8192,67108864,160.269,399.327,128.402,2054.432,3588096,2227,436,1462,true
linux,splice,ping-pong,5,16,8192,67108864,162.980,392.685,121.401,1942.416,3739648,2400,463,1183,true
